date,city,orders,aov,revenue,active_riders,avg_delivery_time_min,stockout_rate,customer_churn_rate,marketing_spend,competitor_launch_flag
2026-01-01,Bangalore,2460,338.12,831640.91,224,23.4,0.0369,0.0438,16699.75,0
2026-01-01,Mumbai,2700,353.24,953664.36,244,22.8,0.0279,0.0462,13615.89,0
2026-01-01,Delhi,2102,312.8,657396.97,204,21.7,0.0419,0.0379,14149.94,0
2026-01-01,Pune,1384,300.81,416380.36,124,24.3,0.0276,0.0392,8565.19,0
2026-01-01,Hyderabad,1552,306.38,475490.76,147,24.0,0.0383,0.0397,9949.97,0
2026-01-01,Bhopal,657,262.17,172318.03,66,24.5,0.024,0.0487,3999.94,0
2026-01-02,Bangalore,2386,335.9,801510.36,210,22.8,0.0268,0.0503,14726.69,0
2026-01-02,Mumbai,2371,364.67,864553.81,237,25.5,0.027,0.0502,15328.77,0
2026-01-02,Delhi,2203,316.04,696395.56,212,22.8,0.0459,0.0441,12002.04,0
2026-01-02,Pune,1316,309.75,407713.66,135,26.5,0.0297,0.0468,7473.02,0
2026-01-02,Hyderabad,1629,329.07,536028.65,150,17.5,0.037,0.0491,9844.37,0
2026-01-02,Bhopal,690,260.95,179937.06,66,24.9,0.029,0.0524,3958.53,0
2026-01-03,Bangalore,2648,333.18,882392.88,226,22.7,0.0315,0.0476,16019.12,0
2026-01-03,Mumbai,3135,349.89,1096840.88,238,20.3,0.0282,0.0465,19218.05,0
2026-01-03,Delhi,2646,317.0,838672.19,201,23.1,0.0375,0.041,15660.7,0
2026-01-03,Pune,1643,322.63,529935.14,131,23.8,0.0312,0.0354,9833.38,0
2026-01-03,Hyderabad,1846,340.54,628488.35,149,23.9,0.0314,0.0392,12127.81,0
2026-01-03,Bhopal,835,268.23,224040.48,68,20.5,0.0363,0.0479,5926.4,0
2026-01-04,Bangalore,2623,332.3,871720.25,221,20.1,0.0277,0.0453,14346.46,0
2026-01-04,Mumbai,3061,346.76,1061364.62,251,23.2,0.0265,0.0491,16481.1,0
2026-01-04,Delhi,2675,336.73,900784.04,200,24.6,0.0411,0.0489,14396.02,0
2026-01-04,Pune,1504,306.26,460529.12,131,24.9,0.0311,0.0416,9196.84,0
2026-01-04,Hyderabad,1867,301.14,562220.95,158,21.0,0.0321,0.0483,10291.93,0
2026-01-04,Bhopal,837,272.05,227618.33,68,25.0,0.0343,0.0491,5813.59,0
2026-01-05,Bangalore,2371,329.75,781688.07,214,23.8,0.0263,0.0467,14551.28,0
2026-01-05,Mumbai,2708,360.19,975219.1,250,30.8,0.0288,0.0481,15084.81,0
2026-01-05,Delhi,2177,326.18,710034.6,209,25.2,0.0443,0.0446,12139.41,0
2026-01-05,Pune,1294,294.64,381254.93,133,20.9,0.031,0.0459,8013.06,0
2026-01-05,Hyderabad,1529,311.91,476995.46,150,24.9,0.0249,0.0478,10003.9,0
2026-01-05,Bhopal,737,245.67,181031.71,68,25.3,0.0323,0.0476,5840.8,0
2026-01-06,Bangalore,2469,355.44,877415.19,226,23.2,0.0329,0.0488,13857.18,0
2026-01-06,Mumbai,2569,353.01,906960.05,241,19.3,0.0404,0.0484,13343.58,0
2026-01-06,Delhi,2246,333.94,749935.14,210,22.2,0.0335,0.0484,12654.26,0
2026-01-06,Pune,1415,300.55,425319.52,127,25.6,0.0396,0.0349,8622.84,0
2026-01-06,Hyderabad,1547,320.57,495940.36,146,25.3,0.0295,0.0493,8353.88,0
2026-01-06,Bhopal,688,255.06,175556.27,69,25.0,0.0379,0.0387,4445.63,0
2026-01-07,Bangalore,2655,354.04,939859.44,210,27.2,0.0278,0.0415,16517.05,0
2026-01-07,Mumbai,2701,346.65,936204.44,240,21.4,0.0154,0.0437,14519.27,0
2026-01-07,Delhi,2488,301.69,750532.87,207,27.6,0.0408,0.0378,16373.18,0
2026-01-07,Pune,1401,288.22,403717.11,132,22.5,0.0309,0.0453,8134.44,0
2026-01-07,Hyderabad,1609,318.21,512026.46,157,29.3,0.0244,0.0352,9532.37,0
2026-01-07,Bhopal,721,262.92,189459.48,69,22.8,0.0291,0.0421,4629.65,0
2026-01-08,Bangalore,2443,330.58,807545.94,226,26.0,0.0314,0.0481,13644.5,0
2026-01-08,Mumbai,2527,370.76,936978.54,244,24.3,0.0299,0.0514,14415.56,0
2026-01-08,Delhi,2363,317.41,750017.8,209,26.1,0.0466,0.0491,15719.87,0
2026-01-08,Pune,1401,308.18,431909.92,129,23.7,0.0315,0.0455,8825.87,0
2026-01-08,Hyderabad,1535,335.95,515522.75,145,26.9,0.0245,0.049,9686.12,0
2026-01-08,Bhopal,722,259.87,187625.99,68,22.3,0.0303,0.0499,4278.87,0
2026-01-09,Bangalore,2301,335.63,772262.66,223,21.9,0.0275,0.0462,14087.47,0
2026-01-09,Mumbai,2534,353.22,895086.4,242,20.5,0.0235,0.0414,14934.14,0
2026-01-09,Delhi,2336,338.88,791551.09,215,24.0,0.039,0.04,13992.91,0
2026-01-09,Pune,1380,303.87,419281.59,127,27.8,0.0323,0.0445,8555.9,0
2026-01-09,Hyderabad,1655,305.02,504880.67,151,24.2,0.0301,0.0411,9951.55,0
2026-01-09,Bhopal,717,275.09,197359.16,72,22.1,0.0397,0.0494,4370.35,0
2026-01-10,Bangalore,3062,329.01,1007483.31,214,18.7,0.0273,0.0424,17210.85,0
2026-01-10,Mumbai,3012,364.92,1099319.49,254,22.6,0.0343,0.0405,18815.85,0
2026-01-10,Delhi,2470,343.44,848440.49,217,19.7,0.0372,0.0518,14680.92,0
2026-01-10,Pune,1710,280.87,480182.42,128,24.1,0.03,0.0427,10790.29,0
2026-01-10,Hyderabad,1742,308.23,536876.34,151,25.8,0.0323,0.0394,9114.63,0
2026-01-10,Bhopal,856,263.46,225630.75,68,24.3,0.037,0.0509,5167.47,0
2026-01-11,Bangalore,3044,363.87,1107767.74,218,25.6,0.0344,0.0518,16797.5,0
2026-01-11,Mumbai,3093,375.24,1160458.03,227,18.9,0.0247,0.0437,19664.91,0
2026-01-11,Delhi,2844,320.95,912676.74,220,19.7,0.0317,0.0447,17608.2,0
2026-01-11,Pune,1607,275.19,442332.74,130,25.7,0.0241,0.0468,8888.84,0
2026-01-11,Hyderabad,1793,296.87,532198.43,150,21.5,0.0343,0.0475,10281.04,0
2026-01-11,Bhopal,773,258.89,200142.05,68,21.0,0.0275,0.0548,4652.15,0
2026-01-12,Bangalore,2316,342.91,794191.15,219,25.5,0.029,0.0488,13281.87,0
2026-01-12,Mumbai,2525,356.04,899050.26,223,27.4,0.0232,0.0532,14836.44,0
